amount,hour,previous_transactions_24h,failed_attempts,distance_from_home_km,account_age_days,card_present,international_transaction,transaction_type,merchant_category,is_fraud
745.07,21,5,0,43.53,2843,No,No,POS,Grocery,0
3279.46,8,1,1,8.9,1421,Yes,No,ATM,Grocery,0
3740.67,22,2,0,4.69,1696,Yes,No,ATM,Electronics,0
2325.6,18,3,0,18.18,1438,Yes,No,POS,Jewellery,0
1551.52,5,3,0,32.97,2238,No,No,Online,Grocery,0
11833.23,5,2,1,19.65,658,Yes,No,Online,Grocery,0
5922.67,13,6,0,25.71,1475,Yes,No,Online,Electronics,0
6261.13,12,6,1,6.6,749,Yes,Yes,POS,Grocery,0
3039.32,5,2,3,32.59,2359,Yes,No,POS,Travel,0
2043.25,6,3,1,29.41,2574,No,No,POS,Other,0
2410.68,21,1,0,18.34,1614,Yes,No,Online,Other,0
1145.25,18,4,1,60.04,1873,Yes,No,Online,Travel,0
8981.66,4,2,0,17.6,2211,Yes,No,Online,Electronics,0
63757.98,23,12,7,309.85,109,No,Yes,Transfer,Jewellery,1
7753.89,3,3,0,36.71,832,No,No,Online,Other,0
2497.35,10,2,1,62.99,2843,Yes,No,Online,Electronics,0
4578.57,0,4,0,12.27,2063,Yes,No,POS,Restaurant,0
60445.59,3,12,7,476.97,138,No,Yes,Online,Travel,1
66009.35,1,14,3,310.37,158,No,Yes,Online,Jewellery,1
9681.45,5,5,0,59.69,1351,Yes,No,POS,Travel,0
2552.99,4,2,1,12.77,757,Yes,Yes,ATM,Electronics,0
49123.9,0,8,6,157.05,144,No,Yes,Transfer,Travel,1
5253.43,1,4,0,10.26,2060,Yes,No,Online,Restaurant,0
34766.99,4,12,6,80.68,127,No,Yes,Transfer,Travel,1
4310.44,20,5,0,11.5,1117,No,No,Online,Travel,0
3637.73,7,5,0,58.51,677,Yes,No,POS,Restaurant,0
469.52,18,3,0,17.29,1890,Yes,No,POS,Fuel,0
1733.64,13,1,0,26.0,2567,No,No,POS,Jewellery,0
1680.04,6,4,0,30.8,1978,Yes,No,Online,Fuel,0
6203.27,1,1,0,58.68,43,No,No,POS,Grocery,0
3485.9,18,4,0,78.89,2016,Yes,No,POS,Electronics,0
4760.26,0,3,0,33.99,1318,Yes,Yes,POS,Grocery,0
2666.87,10,4,1,43.75,2053,Yes,Yes,POS,Fuel,0
4914.71,0,2,0,12.3,1145,Yes,No,POS,Fuel,0
3044.17,18,3,0,73.72,1257,Yes,No,Online,Electronics,0
2888.99,23,1,0,45.21,1357,Yes,Yes,POS,Electronics,0
3863.22,7,3,1,130.58,1877,Yes,No,Online,Jewellery,1
3637.49,7,0,0,27.34,2524,No,No,POS,Grocery,0
14182.27,13,7,0,13.85,2721,Yes,No,POS,Electronics,0
1718.15,12,2,0,20.72,538,Yes,No,POS,Grocery,0
943.07,9,1,0,57.66,213,Yes,No,POS,Restaurant,0
4247.46,8,8,0,74.32,2501,No,No,ATM,Other,0
1917.01,4,1,0,95.73,2351,Yes,No,POS,Other,0
412.64,6,4,0,14.73,841,Yes,Yes,ATM,Electronics,1
67691.17,0,23,4,245.29,52,No,Yes,Online,Jewellery,1
12308.2,17,5,1,24.78,386,Yes,Yes,POS,Electronics,1
1682.0,18,4,1,12.22,1402,No,No,POS,Grocery,0
676.05,12,4,1,52.09,855,No,No,POS,Restaurant,0
11837.64,18,5,0,23.61,500,Yes,No,ATM,Grocery,0
1370.09,14,2,0,21.53,2437,Yes,Yes,Online,Travel,0
16814.3,8,3,0,21.62,2349,Yes,No,Online,Other,0
2583.3,8,5,1,19.85,1592,No,No,POS,Fuel,0
9706.45,12,4,0,7.74,121,No,No,POS,Fuel,0
2842.17,7,6,1,13.06,427,Yes,No,Online,Grocery,0
4596.63,18,1,0,44.71,2106,Yes,No,Online,Electronics,0
3091.52,4,4,2,10.86,1131,Yes,No,POS,Jewellery,1
2857.64,1,7,0,43.49,1210,Yes,Yes,Online,Electronics,0
4013.92,11,4,0,29.96,2445,Yes,No,Online,Fuel,0
4708.16,1,3,0,57.88,802,No,No,POS,Electronics,0
3806.92,4,4,1,27.58,2934,Yes,No,POS,Restaurant,0
3542.43,9,2,0,13.89,2881,Yes,No,Online,Other,0
1929.55,0,1,1,13.4,1792,Yes,No,POS,Fuel,0
78665.07,3,23,6,107.05,97,No,Yes,Transfer,Electronics,1
8954.61,13,3,0,14.85,2965,Yes,No,Online,Restaurant,0
1861.11,8,2,1,22.93,642,Yes,No,Transfer,Jewellery,1
4094.05,21,4,0,62.66,2598,No,No,POS,Other,0
7273.1,2,2,0,44.9,1300,No,No,POS,Jewellery,0
4734.53,17,1,1,20.89,2581,Yes,No,POS,Fuel,0
6245.83,14,1,2,11.46,913,Yes,No,Online,Travel,0
1352.18,15,2,0,38.66,2149,Yes,No,POS,Travel,0
4101.17,16,5,2,15.87,2186,Yes,No,ATM,Fuel,0
2741.47,1,2,2,11.64,1125,No,No,ATM,Grocery,0
2827.63,19,2,0,38.92,100,Yes,No,POS,Restaurant,0
8483.44,7,4,0,13.08,902,Yes,No,ATM,Restaurant,0
2860.53,15,3,1,50.0,2079,Yes,No,POS,Grocery,1
4191.76,7,1,0,5.84,2377,No,Yes,POS,Restaurant,0
83196.06,1,9,7,115.56,49,No,Yes,Online,Electronics,1
9699.75,16,2,1,12.33,2679,No,No,POS,Fuel,0
6013.56,22,5,0,46.95,2353,Yes,No,POS,Restaurant,0
3261.43,21,6,0,26.55,313,Yes,No,POS,Restaurant,0
2652.77,17,1,0,46.09,1008,Yes,No,POS,Restaurant,0
5056.25,12,4,0,10.2,1576,Yes,No,ATM,Grocery,0
7217.0,12,4,0,44.99,64,Yes,No,POS,Electronics,0
9782.39,23,1,0,42.0,830,Yes,No,POS,Grocery,0
5885.28,4,2,1,13.17,2292,Yes,Yes,Transfer,Restaurant,0
3576.33,22,1,0,14.15,2563,No,No,POS,Electronics,0
6478.5,15,2,1,14.37,406,Yes,No,ATM,Restaurant,0
5724.62,14,3,1,83.57,1794,No,No,POS,Restaurant,0
3586.12,14,5,1,25.08,1438,Yes,Yes,Online,Grocery,1
5615.53,19,3,1,9.02,2562,No,No,Transfer,Other,1
5546.63,16,1,0,13.74,2500,Yes,No,Transfer,Electronics,0
76670.06,3,22,7,497.99,47,No,Yes,Online,Jewellery,1
2289.79,18,3,0,29.85,2775,Yes,No,Online,Grocery,0
63500.61,1,20,2,301.68,72,No,Yes,Online,Electronics,1
1482.74,21,6,1,5.72,745,Yes,No,POS,Electronics,0
1218.31,22,8,1,12.12,756,Yes,No,POS,Other,0
4237.21,22,3,2,59.09,2516,No,No,Online,Grocery,1
5140.47,1,2,0,30.8,2100,Yes,No,POS,Travel,0
4215.48,15,3,0,12.51,2330,No,No,Transfer,Grocery,1
4534.11,22,6,0,111.19,852,No,No,POS,Fuel,0
5082.77,23,8,0,30.2,2771,Yes,No,POS,Travel,0
8503.7,13,3,0,129.02,519,No,No,Online,Fuel,0
5951.61,21,3,0,10.27,2447,Yes,No,Online,Fuel,0
5834.88,21,1,0,7.63,1013,No,No,POS,Jewellery,0
4015.87,0,0,0,24.82,277,Yes,No,Online,Restaurant,0
4119.66,21,3,1,5.83,2467,No,No,POS,Grocery,0
3060.09,15,1,0,18.91,2833,Yes,No,Online,Fuel,0
4443.81,13,1,1,40.25,2912,Yes,No,Transfer,Electronics,0
1421.2,4,1,0,36.78,83,No,No,Online,Other,0
8528.77,22,6,1,29.7,1367,Yes,No,POS,Electronics,0
1766.4,7,2,2,12.74,1037,Yes,No,ATM,Fuel,0
5943.74,10,2,1,50.8,1013,No,No,ATM,Grocery,0
7852.48,7,3,1,22.59,1173,No,No,POS,Grocery,0
5934.57,23,4,1,2.29,66,Yes,No,Transfer,Electronics,0
67125.61,1,13,5,332.18,28,No,Yes,Transfer,Jewellery,1
45111.94,1,12,6,150.67,51,No,Yes,Transfer,Travel,1
2405.41,0,5,0,57.09,713,Yes,No,Online,Fuel,0
82154.17,0,17,3,108.71,72,No,Yes,Transfer,Electronics,1
1176.16,5,4,0,35.6,380,Yes,No,POS,Jewellery,0
1810.96,18,2,0,3.99,2025,Yes,No,Online,Restaurant,0
4871.01,0,3,2,39.46,2512,Yes,No,POS,Other,0
3545.45,21,3,1,5.58,2934,Yes,No,Online,Travel,0
4671.1,15,3,0,55.65,1929,Yes,No,POS,Other,0
3761.57,5,3,1,22.65,2646,Yes,Yes,POS,Grocery,0
4005.8,21,1,0,45.87,1429,Yes,No,Online,Electronics,0
1957.88,7,1,0,21.57,2710,Yes,Yes,Online,Electronics,1
3917.53,23,1,0,14.68,2326,No,No,POS,Jewellery,0
2531.73,14,3,0,5.2,2753,Yes,No,POS,Fuel,0
2797.72,10,4,1,3.39,2746,Yes,No,Online,Grocery,0
5890.72,1,2,0,14.36,2070,No,No,POS,Electronics,0
1123.8,6,1,0,25.6,679,Yes,No,POS,Jewellery,0
318.37,1,4,1,8.18,150,No,No,Transfer,Restaurant,0
5610.59,20,1,1,92.7,975,Yes,No,POS,Jewellery,0
3920.27,2,8,0,65.28,897,Yes,No,ATM,Jewellery,1
49795.13,0,15,3,137.3,57,No,Yes,Transfer,Electronics,1
1850.71,2,0,0,71.39,122,No,No,Transfer,Restaurant,0
3174.51,23,4,0,22.98,1636,Yes,No,POS,Travel,0
3641.69,23,1,1,8.34,2963,Yes,No,Online,Grocery,0
51233.97,4,23,5,238.55,62,No,Yes,Transfer,Travel,1
1664.93,1,2,0,42.16,1742,No,No,POS,Fuel,0
5799.0,12,4,0,12.8,483,Yes,No,POS,Grocery,0
1028.25,22,3,1,79.41,1267,Yes,No,POS,Grocery,0
1445.69,2,3,2,16.44,2966,Yes,No,Online,Other,0
3097.82,19,6,0,46.38,2018,Yes,No,Online,Electronics,0
6249.01,0,4,2,21.33,1609,No,No,ATM,Electronics,1
2260.6,19,4,0,11.68,2909,Yes,Yes,POS,Restaurant,0
2044.13,13,4,1,7.34,2588,Yes,No,POS,Fuel,0
2965.75,21,2,0,50.15,838,No,No,POS,Fuel,0
4380.97,9,4,1,32.83,1911,No,No,POS,Grocery,0
2635.53,18,2,0,13.59,1952,No,No,POS,Grocery,0
6777.28,20,1,0,50.82,1336,Yes,No,POS,Grocery,0
6964.04,7,3,0,14.16,556,Yes,No,POS,Restaurant,0
3097.71,15,1,0,31.56,2576,No,No,POS,Travel,0
10854.31,11,2,0,35.65,493,Yes,No,Online,Travel,0
3583.53,10,3,1,102.49,1075,Yes,No,Online,Fuel,0
6812.57,19,1,3,98.44,751,No,No,ATM,Electronics,1
59759.55,3,18,5,174.35,82,No,Yes,Online,Jewellery,1
4242.62,2,5,0,11.53,303,No,Yes,Online,Electronics,1
820.88,11,1,0,29.32,1365,No,No,Online,Fuel,0
1343.11,19,3,1,55.47,2532,Yes,No,ATM,Fuel,0
2739.31,3,6,0,3.13,2693,No,Yes,Online,Grocery,0
6929.88,8,1,0,82.71,629,No,No,POS,Travel,0
4339.7,16,2,0,17.47,1514,No,No,POS,Grocery,0
2758.07,11,3,1,53.83,1470,Yes,No,Online,Grocery,0
5174.31,14,2,0,17.68,984,Yes,No,Online,Travel,0
6764.12,12,3,1,77.08,2408,Yes,No,POS,Restaurant,0
3425.61,19,7,0,17.41,2179,No,No,Online,Fuel,0
3989.01,21,5,1,43.5,257,Yes,No,POS,Grocery,0
3640.14,10,4,0,26.04,2581,Yes,No,Transfer,Jewellery,1
3272.28,10,2,0,7.9,1105,Yes,Yes,Transfer,Grocery,0
54457.47,4,23,7,316.83,61,No,Yes,Online,Electronics,1
1720.78,10,1,0,2.47,2297,No,No,ATM,Electronics,0
5152.56,20,5,1,14.63,1440,No,No,Transfer,Restaurant,0
6848.1,12,2,1,34.63,2026,Yes,Yes,POS,Restaurant,0
2754.06,16,3,2,74.37,1326,Yes,No,Online,Electronics,0
2706.62,10,1,0,24.9,2339,No,No,POS,Restaurant,0
618.78,16,4,1,125.57,456,Yes,No,POS,Electronics,0
507.05,17,4,1,59.67,1818,Yes,No,POS,Electronics,0
31368.65,23,15,2,458.31,131,No,Yes,Online,Travel,1
1933.02,22,3,0,26.46,2168,Yes,No,POS,Travel,0
13569.4,21,0,0,40.21,2795,Yes,No,ATM,Electronics,0
2213.18,3,3,0,17.95,2283,Yes,No,ATM,Other,0
847.55,5,6,0,34.32,2178,Yes,No,Transfer,Restaurant,0
36820.21,0,9,2,447.03,135,No,Yes,Transfer,Travel,1
5754.16,9,4,1,25.81,1734,Yes,No,ATM,Grocery,0
29548.58,1,20,6,264.99,111,No,Yes,Transfer,Electronics,1
6136.93,19,5,2,16.6,1754,Yes,No,POS,Fuel,0
1544.3,14,2,0,5.53,1421,No,No,Online,Fuel,0
7881.95,3,5,1,101.09,79,Yes,No,POS,Electronics,1
8179.79,2,4,0,51.19,252,No,No,ATM,Restaurant,0
8408.96,19,3,1,38.68,1366,No,No,ATM,Restaurant,0
4085.9,18,7,0,80.88,825,Yes,No,Online,Travel,0
2596.53,8,4,0,53.64,2764,No,No,POS,Restaurant,0
2423.18,20,2,0,17.77,2955,Yes,No,ATM,Fuel,0
68046.3,2,23,4,131.83,100,No,Yes,Online,Jewellery,1
33806.37,23,13,6,156.07,143,No,Yes,Online,Jewellery,1
291.65,1,4,0,47.36,1746,No,Yes,POS,Grocery,0
734.98,15,5,1,3.61,756,Yes,No,POS,Grocery,0
4056.62,20,3,0,9.46,1137,No,No,ATM,Restaurant,0
83120.73,4,14,4,195.08,27,No,Yes,Online,Travel,1
37765.82,2,17,6,275.63,14,No,Yes,Transfer,Jewellery,1
5465.35,8,4,0,41.36,65,Yes,No,POS,Grocery,0
4448.65,6,5,1,11.67,977,Yes,No,Online,Travel,0
4192.96,6,2,0,33.16,2707,Yes,No,POS,Fuel,0
3200.33,2,5,0,52.47,264,Yes,No,POS,Restaurant,0
1876.68,6,4,0,14.31,1565,Yes,No,Transfer,Restaurant,0
1184.69,5,7,0,11.41,1739,Yes,No,Transfer,Fuel,0
35965.19,23,8,4,310.12,62,No,Yes,Transfer,Electronics,1
3239.16,5,1,1,64.47,2945,No,Yes,Transfer,Restaurant,0
3537.35,3,2,0,14.93,1178,Yes,No,POS,Other,0
6145.59,17,4,1,84.22,1094,Yes,No,POS,Fuel,0
3032.48,12,2,0,38.12,1532,Yes,Yes,Online,Restaurant,0
4947.24,5,4,0,72.09,2576,Yes,No,Online,Jewellery,0
958.73,16,2,0,6.14,1763,No,No,Online,Fuel,0
4096.49,5,2,2,45.76,137,Yes,No,POS,Fuel,0
3898.83,18,2,0,46.86,1350,Yes,No,Online,Grocery,0
7883.68,0,4,0,61.68,1520,Yes,Yes,Online,Grocery,0
2826.47,14,2,0,12.1,2641,Yes,No,Online,Fuel,0
2738.07,14,2,0,15.65,1966,No,No,POS,Grocery,0
5490.9,8,1,0,62.99,2040,No,No,Online,Fuel,0
1267.56,16,4,2,4.71,964,Yes,No,Online,Fuel,0
4022.93,9,3,0,10.58,2183,Yes,No,Online,Travel,0
1211.25,15,3,1,44.83,304,Yes,No,Online,Electronics,0
10174.13,5,5,0,17.71,595,Yes,No,POS,Fuel,0
71268.81,3,14,5,259.23,153,No,Yes,Transfer,Travel,1
83230.49,23,19,6,332.61,13,No,Yes,Transfer,Electronics,1
2285.46,23,2,0,79.5,219,No,Yes,POS,Restaurant,0
4040.03,8,2,0,19.03,1559,No,No,Online,Travel,0
4843.6,11,4,0,42.57,2665,No,No,ATM,Travel,0
7619.74,11,1,1,64.38,1197,No,No,Online,Electronics,0
2074.97,20,3,1,20.16,23,Yes,Yes,Online,Travel,1
5657.14,23,2,0,43.0,831,Yes,No,Online,Jewellery,0
735.72,15,1,1,81.03,217,No,No,Transfer,Fuel,1
1454.24,19,0,0,49.89,1913,Yes,No,Transfer,Other,0
984.05,2,2,0,36.62,2389,No,No,Transfer,Grocery,0
1791.11,18,2,0,49.6,872,Yes,No,POS,Fuel,0
5488.95,19,7,0,55.14,906,Yes,No,Online,Other,0
2114.95,17,3,2,24.66,972,Yes,No,Online,Restaurant,0
2438.65,14,3,0,82.41,1100,Yes,No,POS,Grocery,0
4115.67,21,1,0,31.11,2092,Yes,No,POS,Fuel,0
4706.94,15,3,0,57.86,926,Yes,No,POS,Jewellery,0
2495.94,20,0,0,9.76,1154,No,No,POS,Travel,0
1445.63,4,3,0,25.79,2673,Yes,No,POS,Other,0
9132.79,15,7,0,12.72,2290,Yes,No,POS,Restaurant,0
2508.63,10,3,0,39.21,2786,No,No,Online,Jewellery,0
2702.82,20,3,0,8.88,1077,No,No,POS,Travel,1
2964.23,21,0,0,49.96,2787,Yes,No,Transfer,Other,0
5046.33,20,0,0,41.94,902,Yes,No,POS,Electronics,0
911.96,5,1,2,22.82,928,Yes,Yes,Online,Grocery,0
11408.24,11,2,0,53.49,2859,Yes,No,POS,Restaurant,1
2646.83,0,3,0,9.82,609,No,No,POS,Electronics,0
5161.57,23,4,0,49.71,2457,Yes,No,POS,Restaurant,0
1153.6,6,5,0,11.04,2485,No,No,Transfer,Electronics,1
3830.71,14,3,0,14.88,2778,No,No,Online,Grocery,0
10310.83,11,3,0,64.51,2548,Yes,No,POS,Jewellery,0
9407.29,21,1,0,65.43,2472,Yes,No,ATM,Other,0
5071.03,19,4,1,38.99,1069,No,No,Online,Grocery,0
1693.9,18,6,0,123.64,1673,No,No,POS,Grocery,0
7361.01,15,5,1,88.09,1738,Yes,No,POS,Fuel,0
730.31,2,3,2,22.61,884,Yes,No,POS,Grocery,0
1643.46,22,5,1,10.78,1178,Yes,No,Online,Travel,1
3213.32,1,4,0,49.88,2553,Yes,No,POS,Grocery,0
797.08,10,3,0,32.23,54,Yes,No,POS,Other,0
2281.47,9,3,0,43.29,241,Yes,No,Online,Grocery,0
5733.32,9,2,1,46.37,1237,Yes,No,POS,Grocery,0
1942.41,23,3,1,13.45,2317,Yes,No,Online,Fuel,0
5913.11,5,2,0,9.94,2685,Yes,Yes,ATM,Electronics,0
13335.51,13,2,1,43.98,2054,Yes,No,POS,Restaurant,0
4456.5,5,2,0,42.9,2575,Yes,No,POS,Travel,0
5845.53,21,3,1,6.87,454,No,No,POS,Other,0
7524.11,17,3,0,14.85,320,Yes,No,Online,Electronics,0
2448.94,9,4,0,10.0,1514,Yes,No,ATM,Grocery,0
5754.15,1,5,1,28.94,927,Yes,No,POS,Other,0
2403.2,3,7,0,25.69,2638,No,No,POS,Travel,0
4243.1,5,3,2,3.46,230,Yes,No,Online,Electronics,0
6337.31,9,3,0,29.14,1101,Yes,No,Online,Electronics,0
1759.41,21,4,3,34.65,901,Yes,No,POS,Grocery,0
324.46,2,5,1,36.12,1783,Yes,No,POS,Fuel,0
1624.49,13,4,1,10.05,900,Yes,No,POS,Fuel,0
6957.57,8,4,0,26.41,2823,No,No,POS,Fuel,0
1459.05,1,5,1,71.18,169,Yes,No,POS,Fuel,0
6707.01,14,2,0,15.04,226,Yes,No,POS,Electronics,0
1631.3,16,2,0,68.34,2686,No,No,POS,Restaurant,0
32193.12,23,22,4,446.59,64,No,Yes,Online,Travel,1
3376.55,12,4,0,58.78,2521,Yes,No,POS,Grocery,0
1453.19,7,5,0,42.53,1384,Yes,No,Online,Restaurant,0
2918.03,20,3,0,28.03,2786,Yes,No,POS,Fuel,0
845.18,5,4,1,37.35,1427,Yes,No,POS,Electronics,0
2618.71,16,9,0,54.24,2235,No,Yes,Transfer,Grocery,0
3178.98,22,6,0,8.37,2986,Yes,No,Online,Grocery,0
343.22,0,2,1,75.89,2282,Yes,No,POS,Restaurant,0
64792.15,23,19,2,215.73,96,No,Yes,Transfer,Travel,1
4153.97,4,5,0,10.14,2363,Yes,No,Online,Fuel,0
1313.7,11,3,0,54.3,1159,No,No,Online,Other,0
4636.0,6,3,1,29.93,2028,Yes,No,POS,Restaurant,0
19818.01,0,17,6,148.64,78,No,Yes,Online,Jewellery,1
4141.5,16,3,0,25.34,536,Yes,No,ATM,Grocery,0
5708.65,11,3,0,49.48,868,No,No,POS,Fuel,0
793.29,12,1,2,15.6,541,Yes,No,Online,Jewellery,0
6524.71,11,4,1,20.26,213,Yes,No,Online,Fuel,0
1473.14,17,4,0,42.22,1506,Yes,No,Online,Electronics,0
3659.49,23,6,1,76.65,608,Yes,No,Online,Other,0
10053.01,12,1,0,27.9,2074,Yes,No,POS,Other,0
2576.25,3,2,1,51.18,716,Yes,No,Transfer,Electronics,0
3438.24,7,0,0,47.92,98,Yes,No,POS,Other,0
1480.86,11,3,0,73.0,451,Yes,No,Online,Electronics,0
9989.9,2,3,0,11.66,1643,Yes,No,Transfer,Electronics,0
1616.06,5,2,0,36.62,387,Yes,No,Online,Grocery,0
5241.25,4,1,0,33.98,2662,Yes,Yes,Online,Fuel,0
7515.49,23,5,0,36.63,2244,No,No,Transfer,Jewellery,0
5578.24,9,0,1,17.65,386,Yes,No,POS,Restaurant,0
4319.71,21,3,2,28.54,2577,Yes,No,POS,Travel,0
3619.87,13,5,0,58.48,945,No,No,ATM,Jewellery,0
1143.03,12,4,1,12.29,2690,Yes,Yes,Online,Fuel,0
9707.92,22,1,0,42.01,2960,No,No,POS,Other,0
4077.53,16,1,0,23.61,760,Yes,No,Transfer,Jewellery,0
3439.73,5,7,1,34.96,993,No,No,Online,Restaurant,0
1374.47,6,2,0,22.74,437,Yes,No,Transfer,Restaurant,0
3560.7,15,5,0,58.44,95,Yes,Yes,Online,Electronics,1
3285.66,0,3,0,10.33,1548,Yes,Yes,POS,Jewellery,0
10052.84,3,6,0,35.24,2054,Yes,No,Transfer,Grocery,0
3438.23,1,6,0,62.05,1662,Yes,No,ATM,Fuel,0
3519.91,17,3,1,37.01,2948,Yes,No,Online,Travel,1
1389.13,10,6,0,14.36,353,Yes,No,POS,Grocery,0
1888.88,0,1,0,13.89,699,Yes,No,ATM,Restaurant,1
4830.56,17,4,0,34.74,2671,Yes,No,Online,Electronics,0
653.09,15,2,1,5.09,656,Yes,No,POS,Other,0
6501.72,17,5,0,43.32,1094,Yes,No,Online,Restaurant,0
6616.89,3,1,1,7.14,1301,Yes,No,Transfer,Fuel,0
1730.82,20,2,2,10.52,646,No,No,Online,Grocery,0
4330.72,4,4,0,86.23,1612,Yes,No,Online,Grocery,0
7674.32,13,2,0,75.5,2381,Yes,No,Online,Grocery,0
3095.19,13,4,0,20.51,2445,Yes,Yes,Online,Fuel,0
2684.74,5,1,0,65.19,1383,Yes,No,Online,Grocery,0
2937.12,9,4,0,14.46,2980,Yes,No,POS,Electronics,0
4071.07,1,2,0,43.62,947,Yes,No,POS,Travel,0
2090.01,11,4,1,68.7,2440,Yes,No,ATM,Restaurant,0
2515.18,16,5,0,16.62,2634,Yes,No,POS,Other,0
